source,reporter,partner,period,cmdCode,cmdDesc,flowCode,qty_kg,netWgt_kg,value_usd,qtyUnitCode
Guatemala_Export,Guatemala,China,2015,0908,"Nutmeg, mace and cardamoms",X,4047.0,4047.0,26880.0,8
Guatemala_Export,Guatemala,China,2021,0908,"Nutmeg, mace and cardamoms",X,7675.0,7675.0,170950.0,8
Guatemala_Export,Guatemala,China,2020,0908,"Nutmeg, mace and cardamoms",X,8043.0,8043.0,206533.0,8
Guatemala_Export,Guatemala,Costa Rica,2023,0908,"Nutmeg, mace and cardamoms",X,4029.0,4029.0,19939.0,8
Guatemala_Export,Guatemala,Costa Rica,2017,0908,"Nutmeg, mace and cardamoms",X,1091.0,1091.0,11623.0,8
Guatemala_Export,Guatemala,Costa Rica,2024,0908,"Nutmeg, mace and cardamoms",X,2933.0,2933.0,15003.0,8
Guatemala_Export,Guatemala,Costa Rica,2019,0908,"Nutmeg, mace and cardamoms",X,5603.0,5603.0,9824.0,8
Guatemala_Export,Guatemala,Costa Rica,2015,0908,"Nutmeg, mace and cardamoms",X,964.0,964.0,5305.0,8
Guatemala_Export,Guatemala,Costa Rica,2014,0908,"Nutmeg, mace and cardamoms",X,2678.0,2678.0,4286.0,8
Guatemala_Export,Guatemala,Costa Rica,2022,0908,"Nutmeg, mace and cardamoms",X,5255.0,5255.0,21159.0,8
Guatemala_Export,Guatemala,Costa Rica,2016,0908,"Nutmeg, mace and cardamoms",X,2896.0,2896.0,17469.0,8
Guatemala_Export,Guatemala,Costa Rica,2021,0908,"Nutmeg, mace and cardamoms",X,6100.0,6100.0,13593.0,8
Guatemala_Export,Guatemala,Costa Rica,2020,0908,"Nutmeg, mace and cardamoms",X,3124.0,3124.0,46492.0,8
Guatemala_Export,Guatemala,Costa Rica,2018,0908,"Nutmeg, mace and cardamoms",X,1005.0,1005.0,11999.0,8
Guatemala_Export,Guatemala,Czechia,2019,0908,"Nutmeg, mace and cardamoms",X,55.0,55.0,1374.0,8
Guatemala_Export,Guatemala,Czechia,2020,0908,"Nutmeg, mace and cardamoms",X,50.0,50.0,2598.0,8
Guatemala_Export,Guatemala,Czechia,2021,0908,"Nutmeg, mace and cardamoms",X,55.0,55.0,2000.0,8
Guatemala_Export,Guatemala,El Salvador,2017,0908,"Nutmeg, mace and cardamoms",X,2428.0,2428.0,6907.0,8
Guatemala_Export,Guatemala,El Salvador,2015,0908,"Nutmeg, mace and cardamoms",X,2483.0,2483.0,4749.0,8
Guatemala_Export,Guatemala,El Salvador,2014,0908,"Nutmeg, mace and cardamoms",X,1904.0,1904.0,3596.0,8
Guatemala_Export,Guatemala,El Salvador,2022,0908,"Nutmeg, mace and cardamoms",X,3249.0,3249.0,13245.0,8
Guatemala_Export,Guatemala,El Salvador,2021,0908,"Nutmeg, mace and cardamoms",X,2613.0,2613.0,8638.0,8
Guatemala_Export,Guatemala,El Salvador,2020,0908,"Nutmeg, mace and cardamoms",X,1815.0,1815.0,4512.0,8
Guatemala_Export,Guatemala,El Salvador,2019,0908,"Nutmeg, mace and cardamoms",X,1676.0,1676.0,7501.0,8
Guatemala_Export,Guatemala,El Salvador,2023,0908,"Nutmeg, mace and cardamoms",X,2316.0,2316.0,10449.0,8
Guatemala_Export,Guatemala,El Salvador,2018,0908,"Nutmeg, mace and cardamoms",X,1852.0,1852.0,7735.0,8
Guatemala_Export,Guatemala,El Salvador,2024,0908,"Nutmeg, mace and cardamoms",X,2074.0,2074.0,9099.0,8
Guatemala_Export,Guatemala,El Salvador,2016,0908,"Nutmeg, mace and cardamoms",X,24980.0,24980.0,13676.0,8
Guatemala_Export,Guatemala,Eritrea,2024,0908,"Nutmeg, mace and cardamoms",X,35968.0,35968.0,360300.0,8
Guatemala_Export,Guatemala,Estonia,2023,0908,"Nutmeg, mace and cardamoms",X,2.0,2.0,62.0,8
Guatemala_Export,Guatemala,Finland,2019,0908,"Nutmeg, mace and cardamoms",X,99132.0,99132.0,2321697.0,8
Guatemala_Export,Guatemala,Finland,2017,0908,"Nutmeg, mace and cardamoms",X,80644.0,80644.0,952775.0,8
Guatemala_Export,Guatemala,Finland,2020,0908,"Nutmeg, mace and cardamoms",X,60282.0,60282.0,1795645.0,8
Guatemala_Export,Guatemala,Finland,2018,0908,"Nutmeg, mace and cardamoms",X,64512.0,64512.0,967038.0,8
Guatemala_Export,Guatemala,Finland,2021,0908,"Nutmeg, mace and cardamoms",X,96422.0,96422.0,2459500.0,8
Guatemala_Export,Guatemala,Finland,2015,0908,"Nutmeg, mace and cardamoms",X,74592.0,74592.0,387483.0,8
Guatemala_Export,Guatemala,Finland,2024,0908,"Nutmeg, mace and cardamoms",X,160686.0,160686.0,3104500.0,8
Guatemala_Export,Guatemala,Finland,2016,0908,"Nutmeg, mace and cardamoms",X,120459.0,120459.0,756405.0,8
Guatemala_Export,Guatemala,Finland,2014,0908,"Nutmeg, mace and cardamoms",X,114912.0,114912.0,630822.0,8
Guatemala_Export,Guatemala,Finland,2023,0908,"Nutmeg, mace and cardamoms",X,126590.0,126590.0,1011800.0,8
Guatemala_Export,Guatemala,Finland,2022,0908,"Nutmeg, mace and cardamoms",X,174765.0,174765.0,2732500.0,8
Guatemala_Export,Guatemala,France,2017,0908,"Nutmeg, mace and cardamoms",X,85204.0,85204.0,861982.0,8
Guatemala_Export,Guatemala,France,2019,0908,"Nutmeg, mace and cardamoms",X,93458.0,93458.0,1277491.0,8
Guatemala_Export,Guatemala,France,2020,0908,"Nutmeg, mace and cardamoms",X,99927.0,99927.0,2274066.0,8
Guatemala_Export,Guatemala,France,2018,0908,"Nutmeg, mace and cardamoms",X,92926.0,92926.0,1291710.0,8
Guatemala_Export,Guatemala,France,2021,0908,"Nutmeg, mace and cardamoms",X,126009.0,126009.0,2860128.0,8
Guatemala_Export,Guatemala,France,2015,0908,"Nutmeg, mace and cardamoms",X,115373.0,115373.0,720399.0,8
Guatemala_Export,Guatemala,France,2024,0908,"Nutmeg, mace and cardamoms",X,54774.0,54774.0,1045421.0,8
Guatemala_Export,Guatemala,France,2016,0908,"Nutmeg, mace and cardamoms",X,80027.0,80027.0,342100.0,8
Guatemala_Export,Guatemala,France,2014,0908,"Nutmeg, mace and cardamoms",X,141348.0,141348.0,714333.0,8
Guatemala_Export,Guatemala,France,2023,0908,"Nutmeg, mace and cardamoms",X,68798.0,68798.0,561880.0,8
Guatemala_Export,Guatemala,France,2022,0908,"Nutmeg, mace and cardamoms",X,100683.0,100683.0,1743155.0,8
Guatemala_Export,Guatemala,State of Palestine,2023,0908,"Nutmeg, mace and cardamoms",X,7380.0,7380.0,50802.0,8
Guatemala_Export,Guatemala,Germany,2017,0908,"Nutmeg, mace and cardamoms",X,388460.0,388460.0,3380829.0,8
Guatemala_Export,Guatemala,Germany,2015,0908,"Nutmeg, mace and cardamoms",X,361296.0,361296.0,2370061.0,8
Guatemala_Export,Guatemala,Germany,2024,0908,"Nutmeg, mace and cardamoms",X,392122.0,392122.0,5520562.0,8
Guatemala_Export,Guatemala,Germany,2022,0908,"Nutmeg, mace and cardamoms",X,622678.0,622678.0,7324855.0,8
Guatemala_Export,Guatemala,Germany,2014,0908,"Nutmeg, mace and cardamoms",X,403521.0,403521.0,1841549.0,8
Guatemala_Export,Guatemala,Germany,2016,0908,"Nutmeg, mace and cardamoms",X,375134.0,375134.0,2340164.0,8
Guatemala_Export,Guatemala,Germany,2018,0908,"Nutmeg, mace and cardamoms",X,590583.0,590583.0,5719757.0,8
Guatemala_Export,Guatemala,Germany,2021,0908,"Nutmeg, mace and cardamoms",X,778355.0,778355.0,14315685.0,8
Guatemala_Export,Guatemala,Germany,2020,0908,"Nutmeg, mace and cardamoms",X,439207.0,439207.0,8326124.0,8
Guatemala_Export,Guatemala,Germany,2019,0908,"Nutmeg, mace and cardamoms",X,375223.0,375223.0,6501360.0,8
Guatemala_Export,Guatemala,Germany,2023,0908,"Nutmeg, mace and cardamoms",X,502565.0,502565.0,3405543.0,8
Guatemala_Export,Guatemala,Greece,2022,0908,"Nutmeg, mace and cardamoms",X,9669.0,9669.0,82320.0,8
Guatemala_Export,Guatemala,Greece,2017,0908,"Nutmeg, mace and cardamoms",X,2480.0,2480.0,26375.0,8
Guatemala_Export,Guatemala,Greece,2021,0908,"Nutmeg, mace and cardamoms",X,5231.0,5231.0,64500.0,8
Guatemala_Export,Guatemala,Greece,2020,0908,"Nutmeg, mace and cardamoms",X,4624.0,4624.0,78500.0,8
Guatemala_Export,Guatemala,Greece,2023,0908,"Nutmeg, mace and cardamoms",X,10862.0,10862.0,86216.0,8
Guatemala_Export,Guatemala,Honduras,2017,0908,"Nutmeg, mace and cardamoms",X,2698.0,2698.0,17130.0,8
Guatemala_Export,Guatemala,Honduras,2018,0908,"Nutmeg, mace and cardamoms",X,10683.0,10683.0,12066.0,8
