date,actual_avg_price_inr_per_kg,predicted_avg_price_inr_per_kg,model_run_date,horizon_days,model_version
2016-06-03,668.675,,,,
2016-06-04,674.7950000000001,,,,
2016-06-06,700.275,,,,
2016-06-07,721.4200000000001,,,,
2016-06-08,718.88,,,,
2016-06-09,704.69,,,,
2016-06-10,670.26,,,,
2016-06-11,730.75,,,,
2016-06-13,716.5799999999999,,,,
2016-06-14,742.4200000000001,,,,
2016-06-15,729.8299999999999,,,,
2016-06-16,760.98,,,,
2016-06-17,744.71,,,,
2016-06-18,759.765,,,,
2016-06-20,816.63,,,,
2016-06-21,808.02,,,,
2016-06-22,799.435,,,,
2016-06-23,773.415,,,,
2016-06-24,751.355,,,,
2016-06-25,758.35,,,,
2016-06-27,766.26,,,,
2016-06-28,782.72,,,,
2016-06-29,786.665,,,,
2016-06-30,750.4200000000001,,,,
2016-07-01,745.375,,,,
2016-07-02,779.565,,,,
2016-07-04,780.52,,,,
2016-07-05,794.4449999999999,,,,
2016-07-07,783.99,,,,
2016-07-08,796.03,,,,
2016-07-09,792.615,,,,
2016-07-11,772.205,,,,
2016-07-12,803.3599999999999,,,,
2016-07-13,801.27,,,,
2016-07-14,794.9200000000001,,,,
2016-07-15,803.53,,,,
2016-07-16,794.12,,,,
2016-07-18,774.79,,,,
2016-07-19,798.95,,,,
2016-07-20,796.88,,,,
2016-07-21,792.97,,,,
2016-07-22,781.425,,,,
2016-07-23,778.355,,,,
2016-07-25,783.22,,,,
2016-07-26,800.5,,,,
2016-07-27,812.9200000000001,,,,
2016-07-28,806.255,,,,
2016-07-29,788.605,,,,
2016-07-30,783.96,,,,
2016-08-01,799.7750000000001,,,,
2016-08-02,811.31,,,,
2016-08-03,806.385,,,,
2016-08-04,808.01,,,,
2016-08-05,772.475,,,,
2016-08-06,805.725,,,,
2016-08-08,804.39,,,,
2016-08-10,877.4449999999999,,,,
2016-08-11,898.275,,,,
2016-08-12,899.735,,,,
2016-08-13,935.335,,,,
2016-08-16,973.715,,,,
2016-08-17,1046.33,,,,
2016-08-18,1025.98,,,,
2016-08-19,958.595,,,,
2016-08-20,962.1600000000001,,,,
2016-08-22,949.385,,,,
2016-08-23,985.8050000000001,,,,
2016-08-24,987.435,,,,
2016-08-25,922.33,,,,
2016-08-26,950.855,,,,
2016-08-27,968.77,,,,
2016-08-29,964.9100000000001,,,,
2016-08-30,973.255,,,,
2016-08-31,971.7750000000001,,,,
2016-09-01,949.2,,,,
2016-09-02,918.9649999999999,,,,
2016-09-03,923.75,,,,
2016-09-05,930.19,,,,
2016-09-06,893.37,,,,
2016-09-07,888.98,,,,
2016-09-08,927.42,,,,
2016-09-09,947.14,,,,
2016-09-10,936.4200000000001,,,,
2016-09-13,992.105,,,,
2016-09-15,1014.565,,,,
2016-09-17,990.05,,,,
2016-09-19,992.935,,,,
2016-09-20,996.72,,,,
2016-09-21,995.625,,,,
2016-09-22,973.85,,,,
2016-09-23,950.3,,,,
2016-09-24,933.835,,,,
2016-09-26,973.685,,,,
2016-09-27,965.04,,,,
2016-09-28,955.28,,,,
2016-09-29,975.235,,,,
2016-09-30,947.985,,,,
2016-10-01,953.605,,,,
2016-10-03,950.24,,,,
2016-10-04,984.93,,,,
2016-10-05,958.45,,,,
2016-10-06,973.0999999999999,,,,
2016-10-07,958.785,,,,
2016-10-08,985.395,,,,
2016-10-11,1030.835,,,,
2016-10-12,1031.395,,,,
2016-10-13,1046.255,,,,
2016-10-14,1001.4000000000001,,,,
2016-10-15,1017.625,,,,
2016-10-17,1009.2349999999999,,,,
2016-10-18,1025.665,,,,
2016-10-19,1028.655,,,,
2016-10-20,1028.815,,,,
2016-10-21,1034.0500000000002,,,,
2016-10-22,1048.5500000000002,,,,
2016-10-24,1077.85,,,,
2016-10-25,1083.7350000000001,,,,
2016-10-26,1100.645,,,,
2016-10-27,1111.175,,,,
2016-10-28,1127.7,,,,
2016-10-31,1168.76,,,,
2016-11-01,1146.475,,,,
2016-11-02,1185.815,,,,
2016-11-03,1153.375,,,,
2016-11-04,1161.915,,,,
2016-11-05,1176.995,,,,
2016-11-07,1258.32,,,,
2016-11-08,1358.9099999999999,,,,
2016-11-10,1291.245,,,,
2016-11-11,1248.4650000000001,,,,
2016-11-12,1209.6100000000001,,,,
2016-11-14,1267.49,,,,
2016-11-16,1312.15,,,,
2016-11-18,1236.7150000000001,,,,
2016-11-19,1252.28,,,,
2016-11-21,1297.44,,,,
2016-11-22,1244.355,,,,
2016-11-23,1232.605,,,,
2016-11-24,1247.385,,,,
2016-11-25,1302.305,,,,
2016-11-26,1289.655,,,,
2016-11-28,1297.14,,,,
2016-11-29,1332.09,,,,
2016-11-30,1312.6750000000002,,,,
2016-12-01,1289.845,,,,
2016-12-02,1238.205,,,,
2016-12-03,1211.3899999999999,,,,
2016-12-05,1186.0549999999998,,,,
2016-12-08,1253.995,,,,
2016-12-09,1239.06,,,,
2016-12-10,1199.435,,,,
2016-12-12,1240.65,,,,
2016-12-13,1219.655,,,,
2016-12-14,1216.63,,,,
2016-12-15,1210.56,,,,
2016-12-16,1192.995,,,,
2016-12-17,1209.195,,,,
2016-12-19,1196.33,,,,
2016-12-20,1154.3,,,,
2016-12-21,1161.1,,,,
2016-12-22,1151.495,,,,
2016-12-23,1123.5,,,,
2016-12-24,1147.98,,,,
2016-12-26,1153.47,,,,
2016-12-27,1188.705,,,,
2016-12-28,1216.3600000000001,,,,
2016-12-29,1223.4299999999998,,,,
2016-12-30,1195.735,,,,
2016-12-31,1243.2,,,,
2017-01-02,1288.8,,,,
2017-01-03,1311.695,,,,
2017-01-04,1389.47,,,,
2017-01-05,1341.0149999999999,,,,
2017-01-06,1385.815,,,,
2017-01-07,1357.69,,,,
2017-01-09,1305.925,,,,
2017-01-10,1355.33,,,,
2017-01-11,1366.025,,,,
2017-01-12,1365.47,,,,
2017-01-13,1365.825,,,,
2017-01-17,1385.185,,,,
2017-01-18,1375.72,,,,
2017-01-19,1383.24,,,,
2017-01-21,1364.92,,,,
2017-01-23,1351.3200000000002,,,,
2017-01-24,1356.5900000000001,,,,
2017-01-25,1345.605,,,,
2017-01-27,1356.605,,,,
2017-01-28,1324.465,,,,
2017-01-30,1304.05,,,,
2017-01-31,1314.705,,,,
2017-02-01,1328.47,,,,
2017-02-02,1334.6599999999999,,,,
2017-02-03,1322.53,,,,
2017-02-04,1351.0900000000001,,,,
2017-02-06,1344.045,,,,
2017-02-07,1366.2649999999999,,,,
2017-02-08,1353.385,,,,
2017-02-09,1353.405,,,,
2017-02-10,1334.56,,,,
2017-02-11,1356.26,,,,
2017-02-13,1315.075,,,,
2017-02-14,1313.3449999999998,,,,
2017-02-15,1324.3249999999998,,,,
2017-02-16,1327.6599999999999,,,,
2017-02-17,1312.31,,,,
2017-02-18,1329.98,,,,
2017-02-20,1323.84,,,,
2017-02-21,1295.44,,,,
2017-02-22,1288.405,,,,
2017-02-23,1295.4499999999998,,,,
2017-02-24,1272.995,,,,
2017-02-25,1299.52,,,,
2017-02-27,1254.46,,,,
2017-02-28,1249.795,,,,
2017-03-01,1221.415,,,,
2017-03-02,1222.4699999999998,,,,
2017-03-03,1192.955,,,,
2017-03-04,1206.455,,,,
2017-03-06,1196.97,,,,
2017-03-07,1236.755,,,,
2017-03-08,1269.295,,,,
2017-03-09,1259.435,,,,
2017-03-10,1209.87,,,,
2017-03-11,1264.3400000000001,,,,
2017-03-13,1215.93,,,,
2017-03-14,1170.8000000000002,,,,
2017-03-15,1178.0549999999998,,,,
2017-03-16,1178.01,,,,
2017-03-17,1176.06,,,,
2017-03-18,1228.275,,,,
2017-03-20,1183.37,,,,
2017-03-21,1184.48,,,,
2017-03-22,1188.4499999999998,,,,
2017-03-23,1178.685,,,,
2017-03-24,1161.85,,,,
2017-03-25,1203.125,,,,
2017-03-27,1117.53,,,,
2017-03-28,1159.605,,,,
2017-03-29,1167.37,,,,
2017-03-30,1171.46,,,,
2017-03-31,1104.47,,,,
2017-04-01,1200.37,,,,
2017-04-03,1114.72,,,,
2017-04-04,1179.685,,,,
2017-04-05,1158.295,,,,
2017-04-06,1164.245,,,,
2017-04-07,1121.94,,,,
2017-04-08,1068.575,,,,
2017-04-10,1057.6599999999999,,,,
2017-04-11,1074.5500000000002,,,,
2017-04-17,995.435,,,,
2017-04-18,937.72,,,,
2017-04-19,891.27,,,,
2017-04-20,893.485,,,,
2017-04-21,933.105,,,,
2017-04-22,1007.505,,,,
2017-04-24,962.95,,,,
2017-04-25,1019.48,,,,
2017-04-26,987.335,,,,
2017-04-27,954.385,,,,
2017-04-28,943.085,,,,
2017-04-29,1007.415,,,,
2017-05-01,956.41,,,,
2017-05-02,956.98,,,,
2017-05-03,966.345,,,,
2017-05-04,997.145,,,,
2017-05-05,993.595,,,,
2017-05-06,968.27,,,,
2017-05-08,967.48,,,,
2017-05-09,948.25,,,,
2017-05-10,955.5450000000001,,,,
2017-05-11,949.755,,,,
2017-05-12,885.6600000000001,,,,
2017-05-13,941.8,,,,
2017-05-15,890.4000000000001,,,,
2017-05-16,907.78,,,,
2017-05-17,917.235,,,,
2017-05-18,920.46,,,,
2017-05-19,878.7,,,,
2017-05-20,916.77,,,,
2017-05-22,835.6800000000001,,,,
2017-05-23,886.995,,,,
2017-05-24,871.465,,,,
2017-05-25,881.025,,,,
2017-05-26,797.04,,,,
2017-05-27,924.145,,,,
2017-05-29,890.99,,,,
2017-05-30,893.0899999999999,,,,
2017-05-31,919.915,,,,
2017-06-01,922.33,,,,
2017-06-02,862.415,,,,
2017-06-03,969.635,,,,
2017-06-05,982.68,,,,
2017-06-06,1007.8299999999999,,,,
2017-06-07,1008.22,,,,
2017-06-08,943.21,,,,
2017-06-09,913.65,,,,
2017-06-10,992.415,,,,
2017-06-12,983.91,,,,
2017-06-13,929.3399999999999,,,,
2017-06-14,953.3,,,,
2017-06-15,968.5,,,,
2017-06-16,930.18,,,,
2017-06-17,1021.76,,,,
2017-06-19,987.47,,,,
2017-06-20,956.47,,,,
2017-06-21,978.5999999999999,,,,
2017-06-22,977.615,,,,
2017-06-23,950.21,,,,
2017-06-24,991.0,,,,
2017-06-27,873.775,,,,
2017-06-28,894.09,,,,
2017-06-29,837.74,,,,
2017-06-30,818.52,,,,
2017-07-01,898.43,,,,
2017-07-03,860.9,,,,
2017-07-04,849.635,,,,
2017-07-05,849.8199999999999,,,,
2017-07-06,892.6700000000001,,,,
2017-07-07,904.4200000000001,,,,
2017-07-08,910.7249999999999,,,,
2017-07-10,934.04,,,,
2017-07-11,938.635,,,,
2017-07-12,923.085,,,,
2017-07-13,941.52,,,,
2017-07-14,940.15,,,,
2017-07-15,957.285,,,,
2017-07-17,991.35,,,,
2017-07-18,977.7049999999999,,,,
2017-07-19,1053.2,,,,
2017-07-20,1013.48,,,,
2017-07-21,1004.005,,,,
2017-07-22,1018.08,,,,
2017-07-24,1017.7,,,,
2017-07-25,1020.4200000000001,,,,
2017-07-26,1081.595,,,,
2017-07-27,1060.905,,,,
2017-07-28,1051.95,,,,
2017-07-29,1072.34,,,,
2017-07-31,1083.79,,,,
2017-08-01,1086.115,,,,
2017-08-02,1109.525,,,,
2017-08-03,1079.375,,,,
2017-08-04,1057.82,,,,
2017-08-05,1038.07,,,,
2017-08-07,1020.305,,,,
2017-08-08,1009.8050000000001,,,,
2017-08-09,1015.405,,,,
2017-08-10,1028.6100000000001,,,,
2017-08-11,1007.845,,,,
2017-08-12,1060.58,,,,
2017-08-14,1059.885,,,,
2017-08-16,1119.03,,,,
2017-08-17,1109.4450000000002,,,,
2017-08-18,1114.6750000000002,,,,
2017-08-19,1116.53,,,,
2017-08-21,1074.775,,,,
2017-08-22,1064.6799999999998,,,,
2017-08-23,1103.875,,,,
2017-08-24,1081.96,,,,
2017-08-25,1079.1399999999999,,,,
2017-08-26,1095.3249999999998,,,,
2017-08-28,1081.2350000000001,,,,
2017-08-29,1121.495,,,,
2017-08-30,1146.255,,,,
2017-08-31,1117.97,,,,
2017-09-02,1125.55,,,,
2017-09-05,1129.81,,,,
2017-09-06,1184.88,,,,
2017-09-07,1142.055,,,,
2017-09-08,1144.535,,,,
2017-09-09,1132.38,,,,
2017-09-11,1184.065,,,,
2017-09-12,1199.01,,,,
2017-09-13,1250.25,,,,
2017-09-14,1221.73,,,,
2017-09-15,1200.815,,,,
2017-09-16,1144.935,,,,
2017-09-18,1137.0149999999999,,,,
2017-09-19,1093.71,,,,
2017-09-20,1083.025,,,,
2017-09-21,1095.0149999999999,,,,
2017-09-22,1088.145,,,,
2017-09-23,1083.62,,,,
2017-09-25,1077.54,,,,
2017-09-26,993.38,,,,
2017-09-27,991.0550000000001,,,,
2017-09-28,952.615,,,,
2017-09-30,961.1949999999999,,,,
2017-10-03,957.4449999999999,,,,
2017-10-04,975.265,,,,
